
========== REPORT ==========
[OK] Totals | Stores=35 | Categories=122 | Unique=25328 | New=0 | Restored=1 | Removed=6 | PriceChanges=19 | Runtime=  3065s

FAILED CATEGORIES (3)
  ✗ Elbow Liquor | Whisky
  ✗ Elbow Liquor | Rum
  ✗ Elbow Liquor | Gin

R Lime Liquor | Whiskey             | Johnnie Walker Lunar New Year 2026 - Year of Horse 750mL 131831  $359.99 (Cheaper at Willow Park)
  https://limeliquor.ca/products/johnnie-walker-lunar-new-year-2026-year-of-horse-750ml

REMOVED (6)
- Gull Liquor | Whisky              | Nomad – Outland 750ml 668533  $75.35 (Available at CLB Spirits)
  https://gullliquorstore.com/product/nomad-outland-750ml/
- Legacy Liquor | Rum               | ROYAL JAMAICAN WHITE LEGACY | 1 x 750ML 030551  $34.93 (Available at Lime Liquor)
  https://www.legacyliquorstore.com/product/spirits/royal-jamaican-white-legacy-1-x-750ml
- Liquor Warehouse | Whiskey/Scotch | JAMESON IRISH WHISKEY 1.14L 928374  $56.99 (Available at Sierra Springs)
  https://liquorwarehouse.ca/products/jameson-irish
- Silver Springs Liquor | Rum       | DIPLOMATICO MANTUANO 134712  $41.85 (Available at Liquorama)
  https://shop.silverspringsls.com/products/5128325-diplomatico-mantuano
- Whisky Drop | Whisky              | Bruichladdich Octomore 16.1 139823  $285.00 (Available at BCL)
  https://www.whiskydrop.ca/products/bruichladdich-octomore-16-1
- ZYN The Wine Market | Whisky      | The Old Malt Cask Fettercairn 15 Year Old 822911  $180.00
  https://zyn.ca/products/the-old-malt-cask-fettercairn

PRICE CHANGES (19)
~ BCL | Rum                         | CAPTAIN MORGAN - GOLD 825596  $20.91 -> $24.49
  https://www.bcliquorstores.com/product/825596
~ BCL | Whisky / Whiskey            | FORTY CREEK - BARREL SELECT 550715  $20.91 -> $27.99 (Cheaper at Tudor House)
  https://www.bcliquorstores.com/product/550715
~ BSW | Rum                         | 1731 Fine & Rare British West Indies X.O. Rum 842855  $71.99 -> $105.00 (Cheaper at Keg N Cork)
